,date,precipitation,precipitation_normal
0,19480906,0.00,2.87
1,19480907,0.00,2.88
2,19480908,0.00,2.89
3,19480909,0.00,2.9
4,19480910,0.00,2.92
5,19480911,0.00,2.93
6,19480912,0.00,2.94
7,19480913,0.00,2.95
8,19480914,0.00,2.96
9,19480915,0.00,2.98
10,19480916,T,2.99
11,19480917,T,3.0
12,19480918,T,3.01
13,19480919,T,3.02
14,19480920,T,3.03
15,19480921,T,3.04
16,19480922,T,3.05
17,19480923,T,3.06
18,19480924,T,3.07
19,19480925,T,3.08
20,19480926,T,3.08
21,19480927,T,3.09
22,19480928,T,3.1
23,19480929,T,3.1
24,19480930,T,3.11
25,19481001,T,3.12
26,19481002,T,3.12
27,19481003,T,3.13
28,19481004,T,3.14
29,19481005,T,3.15
30,19481006,T,3.16
31,19481007,T,3.17
32,19481008,T,3.18
33,19481009,T,3.19
34,19481010,T,3.2
35,19481011,T,3.21
36,19481012,T,3.22
37,19481013,T,3.23
38,19481014,T,3.24
39,19481015,T,3.26
40,19481016,T,3.27
41,19481017,T,3.28
42,19481018,0.01,3.29
43,19481019,0.01,3.3
44,19481020,0.01,3.31
45,19481021,0.01,3.32
46,19481022,0.01,3.33
47,19481023,0.01,3.34
48,19481024,0.01,3.36
49,19481025,0.01,3.37
50,19481026,0.01,3.38
51,19481027,0.01,3.39
52,19481028,0.01,3.4
53,19481029,0.01,3.41
54,19481030,0.01,3.42
55,19481031,0.01,3.43
56,19481101,0.01,3.44
57,19481102,0.01,3.45
58,19481103,0.01,3.46
59,19481104,0.01,3.46
60,19481105,0.01,3.47
61,19481106,0.01,3.48
62,19481107,0.01,3.49
63,19481108,0.01,3.5
64,19481109,0.01,3.51
65,19481110,0.01,3.52
66,19481111,0.01,3.52
67,19481112,0.01,3.53
68,19481113,0.01,3.54
69,19481114,0.01,3.55
70,19481115,0.01,3.56
71,19481116,0.01,3.57
72,19481117,0.01,3.58
73,19481118,0.01,3.59
74,19481119,0.01,3.6
75,19481120,0.01,3.61
76,19481121,0.01,3.62
77,19481122,0.01,3.63
78,19481123,0.01,3.65
79,19481124,0.01,3.66
80,19481125,0.01,3.67
81,19481126,0.01,3.68
82,19481127,0.01,3.69
83,19481128,0.01,3.71
84,19481129,0.01,3.72
85,19481130,0.01,3.73
86,19481201,0.01,3.74
87,19481202,0.01,3.75
88,19481203,0.01,3.77
89,19481204,0.01,3.78
90,19481205,0.01,3.79
91,19481206,0.01,3.8
92,19481207,0.01,3.81
93,19481208,0.01,3.82
94,19481209,0.01,3.83
95,19481210,0.01,3.85
96,19481211,0.01,3.86
97,19481212,0.01,3.87
98,19481213,0.01,3.88
99,19481214,0.01,3.9
100,19481215,0.01,3.91
101,19481216,0.01,3.93
102,19481217,0.01,3.94
103,19481218,0.01,3.96
104,19481219,0.01,3.97
105,19481220,0.01,3.98
106,19481221,0.01,4.0
107,19481222,0.04,4.02
108,19481223,0.05,4.03
109,19481224,0.05,4.05
110,19481225,0.05,4.07
111,19481226,0.05,4.08
112,19481227,0.30,4.1
113,19481228,0.30,4.12
114,19481229,0.30,4.14
115,19481230,0.30,4.16
116,19481231,0.30,4.18
117,19490101,0.00,0.02
118,19490102,0.10,0.04
119,19490103,0.10,0.06
120,19490104,0.10,0.08
121,19490105,0.10,0.1
122,19490106,0.10,0.12
123,19490107,0.10,0.14
124,19490108,0.10,0.16
125,19490109,0.11,0.18
126,19490110,0.44,0.2
127,19490111,0.73,0.22
128,19490112,1.38,0.23
129,19490113,1.78,0.25
130,19490114,1.78,0.27
131,19490115,1.78,0.29
132,19490116,1.78,0.31
133,19490117,1.78,0.33
134,19490118,1.78,0.35
135,19490119,1.84,0.36
136,19490120,1.97,0.38
137,19490121,1.99,0.39
138,19490122,2.02,0.41
139,19490123,2.02,0.43
140,19490124,2.02,0.44
141,19490125,2.41,0.46
142,19490126,2.41,0.47
143,19490127,2.41,0.49
144,19490128,2.41,0.51
145,19490129,2.41,0.52
146,19490130,2.41,0.54
147,19490131,2.41,0.56
148,19490201,2.41,0.58
149,19490202,2.41,0.6
150,19490203,2.41,0.63
151,19490204,2.41,0.65
152,19490205,2.41,0.67
153,19490206,2.41,0.69
154,19490207,2.41,0.72
155,19490208,2.41,0.75
156,19490209,2.41,0.77
157,19490210,2.41,0.8
158,19490211,2.41,0.83
159,19490212,2.41,0.85
160,19490213,2.41,0.88
